magic_rank,ticker,name,pasa_filtros,per,pb,ev_ebit,ev_ebitda,fcf_yield,earnings_yield,roic,roc_greenblatt,roe,net_debt_ebitda,interest_coverage,current_ratio,piotroski,es_financiera,fin_rank,roa,capital_activos,fin_score
45,MSI,"Motorola Solutions, Inc.",True,32.57181675766665,29.111905931956006,26.156858532802534,22.89970503838675,0.036659225249864716,0.03823089071441549,0.22054309927350846,2.1542898341744774,0.8937759336099586,2.343099912100791,8.3,1.0365251727541955,6,False,,,,
46,MSCI,MSCI Inc.,True,36.518526441787856,-16.54011879029653,28.941594308009986,28.55161794985397,0.03528248171942144,0.03455234667992137,0.4546762209753242,19.628712814579778,-0.45292404710420636,3.274061988333721,8.164158197904607,0.8989218527714455,7,False,,,,
47,RMD,RESMED INC,True,21.708910674132664,5.095323211591146,17.721412233568156,15.854359130095785,0.05464725346610252,0.05642891135424216,0.25931653276298244,0.5548931196549539,0.23471114180144,-0.2872638594867069,,3.4398353481434962,8,False,,,,
48,AZO,AUTOZONE INC,True,20.64502349955064,-15.105928490645669,16.64868222389334,14.231420286166303,0.03470736828953856,0.06006481393253161,0.5627099345535294,0.5111718795685782,-0.7316982947960542,2.0192411009730415,7.3672894240089795,0.8762507751278784,6,False,,,,
49,UBER,"Uber Technologies, Inc",True,15.071086756073361,5.6029597706743655,27.839287539767387,24.65398395270616,0.06443814606092126,0.03592045947912773,0.18271661686968513,3.3263598326359833,0.3717687955327096,0.5436028007638447,12.647727272727273,1.1357954545454545,5,False,,,,
50,SYY,SYSCO CORP,True,22.190498639069205,22.166246727988256,12.789258909397185,9.792519591425368,0.039542225754156175,0.07819061347371961,3.079601851624536,0.37954768928220256,0.9989071038251366,-0.26555913711877016,,1.2069382815651473,5,False,,,,
51,HLT,Hilton Worldwide Holdings Inc.,False,52.829421022014884,-14.285906909628004,28.241539706303634,26.499814086785953,0.026347083497300285,0.03540883430575833,-0.30112225348904703,3.9371345029239766,-0.2704157386785449,-0.31986062717770036,4.343548387096774,0.6645962732919255,5,False,,,,
52,JBL,JABIL INC,True,54.43505661576976,23.637694776312447,31.06246378727642,19.78223717487108,0.03277053738420981,0.0321931964846141,0.35318403842130636,197.0,0.43423661599471247,0.5129310344827587,,1.0004375091147732,5,False,,,,
53,RPRX,Royalty Pharma plc,False,42.29676697410716,3.3565383795396957,26.252205238020334,26.252205238020334,0.07635487650397024,0.03809203801864721,0.08641348555673026,1.748573799165807,0.0793568544280103,5.342818101490332,5.0688998387851685,2.4018619608903338,5,False,,,,
54,CMCSA,COMCAST CORP,True,4.4122968994744936,0.9105715343765509,3.809796507144491,2.135353652071225,0.24811555090002696,0.2624812107745664,0.1804256462366453,0.31473812423873326,0.20637131977338163,-0.25706306599425194,4.688591517350873,0.8819651592888677,6,False,,,,
